"TITER","sV","sU","M1_CY_Plug","M1_CY_Ours","M2_CY_Plug","M2_CY_Ours","OR_ICC","PS_ICC"
100,1.8,0.2,400.362419978845,400.169120587069,1603.26703262963,1601.73762560678,0.0370627172097458,0.326466648862619
100,1.9,0.2,400.613843837676,399.885885007974,1605.28115901748,1599.53992691675,0.0384326515435937,0.344721301260375
100,2,0.2,399.251645168987,399.397826176197,1594.26096533296,1595.50450126024,0.0394066667344439,0.361419588313521
100,0,0.3,401.290040090401,401.317025546381,1610.65832725662,1610.89085837899,0.0824003663537565,0.055420791199146
100,0.1,0.3,399.776039507678,399.859223848335,1598.62767479746,1599.31657696456,0.0860856153289037,0.0525548684198475
100,0.2,0.3,400.114942677958,400.016214989353,1601.29479367056,1600.50776206907,0.0806382057784474,0.0598758886357525
100,0.3,0.3,399.630542895268,399.452704277189,1597.39114210867,1595.95076509115,0.0848347389576022,0.0646288702053706
100,0.4,0.3,400.016532093106,399.818498986802,1600.53534865292,1598.94900590094,0.0812596405004697,0.0751839415109172
100,0.5,0.3,399.703461933076,399.441969075348,1597.96891814369,1595.87433812061,0.0868440738358925,0.0872896918607809
100,0.6,0.3,400.091363646013,400.375440783125,1601.02414480809,1603.2961522522,0.0792131372292932,0.103774925228913
100,0.7,0.3,400.377309153542,400.292285427094,1603.40440018408,1602.71761361631,0.0853084756437175,0.11861768750506
100,0.8,0.3,399.51339402291,399.672917281317,1596.47865136,1597.75234488361,0.0830018542871418,0.139821465785839
100,0.9,0.3,399.514211536614,399.758021582752,1596.43994395437,1598.35461318195,0.0799621912442379,0.154027453064852
100,1,0.3,400.391868854709,400.049654603281,1603.45138442852,1600.75982867787,0.0828515674698557,0.175935443400486
100,1.1,0.3,400.329135252514,400.307750229232,1603.0324976674,1602.86969547354,0.0854247815832513,0.192162156719591
100,1.2,0.3,399.363769848433,399.422365119333,1595.32622215151,1595.79644786303,0.0841330859647535,0.212265844844807
100,1.3,0.3,399.976027699778,400.063842336741,1600.22526313672,1600.94594165794,0.0851686054726194,0.234414071735533
100,1.4,0.3,399.861387951823,400.338025148582,1599.26009856175,1603.08053140907,0.0817010386316579,0.253892199751058
100,1.5,0.3,399.734661847706,399.764760201178,1598.20202512851,1598.45430388297,0.0856818982713007,0.270966556003564
100,1.6,0.3,400.36950022043,400.15698857476,1603.33902276481,1601.63229507855,0.081801495563632,0.290882997322095
100,1.7,0.3,401.12080306281,401.057016974043,1609.41036939953,1608.99796168705,0.083437699179779,0.310360095620905
100,1.8,0.3,399.614732207056,399.388334103502,1597.33161029883,1595.55003871123,0.0812241210568591,0.328642717502063
100,1.9,0.3,400.514512618711,400.343694269064,1604.52463676924,1603.18058176274,0.082135962723711,0.352305963563916
100,2,0.3,400.814886903349,400.706039437197,1606.79301714405,1605.95128426631,0.0814790798400263,0.367419966614312
100,0,0.4,400.422329414937,400.527779006879,1603.83297310981,1604.67981988192,0.136860040240245,0.0534577307802702
100,0.1,0.4,399.742312516998,399.735796419397,1598.33936448895,1598.25406362607,0.138269593241886,0.0538213461078941
100,0.2,0.4,400.208402067377,400.216988708109,1602.04622471184,1602.11987147243,0.13949319349916,0.05872576144984
100,0.3,0.4,400.898655738329,400.765494128329,1607.59652118449,1606.53177090787,0.138807072504141,0.0650536202372435
100,0.4,0.4,399.701563786501,399.714596276904,1597.91071586654,1598.02546074155,0.136550241586177,0.0775420926854885
100,0.5,0.4,398.995461800097,398.78359797396,1592.27846283044,1590.5537354581,0.134217678329528,0.0893673365406438
100,0.6,0.4,400.415690159232,400.510690444179,1603.67599764181,1604.42438590851,0.138740740572871,0.101124250459763
100,0.7,0.4,399.625389271018,399.69667918526,1597.38913639516,1597.96364361864,0.135178004593299,0.120693759096203
100,0.8,0.4,399.7666943203,399.648804844671,1598.56107038726,1597.60947755138,0.136940523743112,0.135544385275914
100,0.9,0.4,399.5080803969,399.189739900049,1596.36919443871,1593.80031752879,0.137731834964435,0.153232698480146
100,1,0.4,399.510546167471,399.362987688977,1596.49864707846,1595.28539978046,0.137232129672328,0.17147625043443
100,1.1,0.4,399.747412806626,399.354297842138,1598.32145918444,1595.18213819358,0.136829822343831,0.194084953211037
100,1.2,0.4,400.0101865372,400.241430712956,1600.55718323072,1602.39790262469,0.139955201949102,0.213294846723474
100,1.3,0.4,399.642963781893,399.793810959344,1597.61079734673,1598.77890420314,0.138745581516505,0.23205399746949
100,1.4,0.4,399.951840618018,400.299659636791,1599.9609259787,1602.79309748764,0.13737049186714,0.256344692783253
100,1.5,0.4,400.095506612607,399.928802867091,1601.12821693448,1599.8130639579,0.137400128358978,0.273416245174427
100,1.6,0.4,399.514354256359,399.960033308727,1596.38509032529,1600.03207380651,0.136178427320819,0.291400325160693
100,1.7,0.4,399.801677090538,399.586460850584,1598.81026320068,1597.10383292544,0.134574893840165,0.308136978084084
100,1.8,0.4,399.379579035982,398.992530370424,1595.43542616825,1592.35954227365,0.13814686626443,0.326338060276059
100,1.9,0.4,400.122737994099,400.389188819556,1601.40916182701,1603.54026444934,0.137472843417374,0.344808262950907
100,2,0.4,400.185586711029,399.85663128678,1601.76366109649,1599.20872923349,0.139910546608784,0.366050721817402
100,0,0.5,399.441882315618,399.303093382511,1595.97727632323,1594.83983162702,0.200406687415521,0.0483209393275137
100,0.1,0.5,400.667469664398,400.320627599512,1605.76726354323,1602.93866805158,0.203299176626519,0.056922002185562
100,0.2,0.5,400.272629456387,400.309786491977,1602.5921180866,1602.89703122093,0.202141661056996,0.0567804814706854
100,0.3,0.5,400.035150472619,399.825800692188,1600.78016085991,1599.11393319973,0.200343864336961,0.0669228056284834
100,0.4,0.5,400.167350714983,400.250714465115,1601.79089002492,1602.45190383032,0.196243696443494,0.0768294050153349
100,0.5,0.5,399.715351913229,399.935453694573,1598.06100958989,1599.8075283797,0.202878234389773,0.0913019949923563
100,0.6,0.5,400.57725622169,400.361189596031,1604.97647418067,1603.1928575456,0.200247255439897,0.100844737346718
100,0.7,0.5,400.833942778263,400.965654704873,1607.08477262674,1608.12517187644,0.200268175030318,0.116399583924427
100,0.8,0.5,400.16600543938,400.204389208427,1601.76972668287,1602.02634111005,0.202092701651678,0.133035501270365
100,0.9,0.5,400.262891936633,400.057976083298,1602.62111590604,1600.88132446196,0.196603213223669,0.153983979689082
100,1,0.5,400.070775851135,400.032076261534,1600.90954666375,1600.60572884806,0.200809089304303,0.174614282306454
100,1.1,0.5,400.343121518178,400.500515155432,1603.22184808578,1604.43383733102,0.198207009605268,0.188815469028018
100,1.2,0.5,400.096335690362,400.327915752301,1601.18854792601,1603.0317475947,0.204127913991279,0.21532909901745
100,1.3,0.5,399.499553522707,399.64551981344,1596.4059331218,1597.59532200277,0.200563106150155,0.232126116007919
100,1.4,0.5,399.989771908688,400.350659290656,1600.34873171247,1603.21338083321,0.20151983016622,0.252101642143201
100,1.5,0.5,399.887908244774,400.051679106001,1599.5723105,1600.87844248425,0.200248539894783,0.273019771625466
100,1.6,0.5,400.874620266259,400.921431414293,1607.43483973795,1607.7913434051,0.199973747935291,0.287819284177361
100,1.7,0.5,399.333089316236,399.728271534554,1595.17824473191,1598.35653191893,0.202392800547662,0.310184377211229
100,1.8,0.5,399.907025105301,399.831697354845,1599.60777390197,1598.95756708438,0.201205188115462,0.327538336223581
100,1.9,0.5,399.593723358991,399.532296416111,1597.25733982237,1596.77467453837,0.201495732623926,0.347061801698615
100,2,0.5,399.969973050613,399.811211299356,1600.10547574975,1598.89218551378,0.198537214506596,0.363966593579985
100,0,0.6,400.24945077176,400.285742822678,1602.46194708233,1602.6737406805,0.26465554777533,0.0549371751455299
100,0.1,0.6,399.741443946263,399.815248008187,1598.31841341264,1598.87547593652,0.262150274137549,0.0549597245543383
