"Cluster.ID","Ind.ID","BATCH","CPS"
6,111,349,0.241944651836581
6,112,349,0.719304162974292
6,113,349,0.740042110905606
6,114,349,0.823541764134895
6,115,349,0.722411484868622
6,116,349,0.787135806959342
6,117,349,0.815452775345036
6,118,349,0.759857832202609
6,119,349,0.254038015326212
6,120,349,0.738656368317814
6,121,349,0.852522708319699
6,122,349,0.222729952208502
6,123,349,0.838307237308277
6,124,349,0.247283828765616
6,125,349,0.705650485746977
6,126,349,0.868314200351266
7,127,349,0.717584071232507
7,128,349,0.809920876012244
7,129,349,0.180105967742423
7,130,349,0.743569622300969
7,131,349,0.721386839461097
7,132,349,0.732993786291189
7,133,349,0.230049772372905
7,134,349,0.65422920359764
7,135,349,0.736499904801239
7,136,349,0.739739961163875
7,137,349,0.752783890341061
7,138,349,0.743232987351636
7,139,349,0.753566408621467
7,140,349,0.851265733551377
7,141,349,0.702810792143572
7,142,349,0.825583036795288
7,143,349,0.865157313011308
7,144,349,0.19727772087643
7,145,349,0.204023094393365
7,146,349,0.782049237026953
7,147,349,0.818169510707431
7,148,349,0.815266702589973
8,149,349,0.678297878152945
8,150,349,0.277020404856104
8,151,349,0.707493593603339
8,152,349,0.169809048172262
8,153,349,0.720061572163584
8,154,349,0.310414822142339
8,155,349,0.750332953275633
8,156,349,0.310930563848803
8,157,349,0.750116464632053
8,158,349,0.25634932196108
8,159,349,0.7255984450713
8,160,349,0.65015487483285
8,161,349,0.26127527983104
8,162,349,0.789466596109423
8,163,349,0.737694102578277
8,164,349,0.707552001469247
8,165,349,0.71001162655124
8,166,349,0.729743711555245
8,167,349,0.243091702660624
8,168,349,0.66399496215966
8,169,349,0.236101487546014
8,170,349,0.782802330615163
9,171,349,0.903156248371421
9,172,349,0.846476443704294
9,173,349,0.873122937298984
9,174,349,0.926413999331324
9,175,349,0.102333581785723
9,176,349,0.897075037382935
9,177,349,0.912166396811629
10,178,349,0.464540594842949
10,179,349,0.358101330967513
10,180,349,0.40172358038041
11,181,349,0.688710648726687
11,182,349,0.19308962430073
11,183,349,0.225096563954901
11,184,349,0.717825776638983
11,185,349,0.688594564756569
11,186,349,0.7614714681101
11,187,349,0.308536629837576
11,188,349,0.295961236909344
11,189,349,0.745059104677679
11,190,349,0.744318351044172
11,191,349,0.777459478251189
11,192,349,0.295240323550569
11,193,349,0.694910263889457
11,194,349,0.625548261277926
11,195,349,0.750770815310785
11,196,349,0.789313209290009
11,197,349,0.300875961867823
11,198,349,0.748785501002159
11,199,349,0.751938916406681
11,200,349,0.777661821761597
11,201,349,0.808029547692816
12,202,349,0.722547135387506
12,203,349,0.689474718691267
12,204,349,0.751587921203676
12,205,349,0.734653765429495
12,206,349,0.770235412277935
12,207,349,0.699788218115445
12,208,349,0.689647002718912
12,209,349,0.684028559892604
12,210,349,0.766475781234724
12,211,349,0.144632832763485
13,212,349,0.87095181787566
13,213,349,0.879079250412439
13,214,349,0.884918770725401
13,215,349,0.79711354136251
13,216,349,0.844353531743902
13,217,349,0.810348041033013
13,218,349,0.873606459502345
13,219,349,0.667166734634382
13,220,349,0.858471845001222
13,221,349,0.873860376270097
13,222,349,0.892733232504723
13,223,349,0.116698144598438
13,224,349,0.812727805815357
13,225,349,0.892129956818493
13,226,349,0.853582202552458
13,227,349,0.788101880763206
13,228,349,0.794846924553525
13,229,349,0.785692982700212
14,230,349,0.255893825970552
14,231,349,0.453009888874555
15,232,349,0.20527943867103
