"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
25,1.5,21,5,2.49520036899224,4.10556163752863,0.937870116403178,0.0686610175961088,1,1
25,1.5,21,6,4.6920761553333,4.02495309140162,2.17491920366657,0.0586279834701501,1,1
25,1.5,22,1,2.01171885232299,3.95991978015921,1.00291421117765,0.0660768126614416,0,1
25,1.5,22,2,1.15372383638964,3.92919089874669,2.46335200775837,0.0627092974755132,1,1
25,1.5,22,4,0.988224635501296,3.98548888175135,1.52060312365384,0.0630371294472731,0,1
25,1.5,22,6,4.79553208876942,3.96743500530138,0.714682647008495,0.0731047714511606,1,1
25,1.5,23,1,5.39556567544129,3.97029275744877,1.09990000392839,0.0867192124446902,1,1
25,1.5,23,2,-0.480358549487356,3.92048412206781,5.48648881849857,0.074455301170047,1,1
25,1.5,23,3,2.25376268987669,3.92418949991294,2.36738147193547,0.0722883586376135,1,1
25,1.5,23,4,5.73480331460828,3.90511213787109,1.81964283494468,0.0716730266779487,1,1
25,1.5,23,5,6.0299860110179,3.92514870999077,1.67065099011548,0.075748588571554,1,1
25,1.5,23,6,28.1056918467272,3.96662236455245,15.4506944845596,0.0780211633784615,1,1
25,1.5,24,1,6.75771726068867,4.09354514945768,3.28069126199926,0.0390245364578035,1,0
25,1.5,24,2,8.07229446307081,4.10366547838357,2.29304698258545,0.0604579332594233,1,1
25,1.5,24,3,4.77795752207896,4.04984537127151,1.34806467091803,0.0532573418070032,1,1
25,1.5,24,4,11.9307496127765,4.08663361941259,10.1000680490699,0.0532352862752676,1,1
25,1.5,24,5,7.41727192293719,4.11957371845156,1.05609295619868,0.0481293786484535,0,0
25,1.5,24,6,5.87468847822073,4.03815737361078,1.07908021830078,0.0626195645527353,1,1
25,1.5,25,1,3.29905322079903,4.04015286247513,1.39438244211981,0.0438539159108194,1,1
25,1.5,25,2,10.8755903531947,4.06593470365072,2.89925077576983,0.0598791221470055,0,1
25,1.5,25,4,6.67320014686322,3.99232246913305,2.03245018443779,0.0617619712027198,1,1
25,1.5,25,5,5.6867957100213,4.00251925856737,1.66339713899213,0.0545279100665092,1,1
25,1.5,25,6,5.85838461944982,4.0157921364193,1.40164281764292,0.0607433221678001,1,1
25,1.5,26,1,6.3423688351651,3.84816941140688,1.96580530423137,0.0770943750313507,1,0
25,1.5,26,2,5.01658739598375,3.87798825829165,1.93342937597227,0.0580754882731612,1,0
25,1.5,26,3,4.35149642817848,3.6555068940026,2.96264933850377,0.234051727243822,1,1
25,1.5,26,4,1.37551883089804,3.94908559403512,3.24902983434401,0.0712838818312406,1,1
25,1.5,26,5,8.81576937668699,3.88224445926151,3.49802302552093,0.0558689463256087,1,0
25,1.5,26,6,4.65323292005824,3.88765949836448,1.37882290331787,0.10116624768405,1,1
25,1.5,27,1,0.0451172010625395,3.95622048420343,2.05219043485581,0.0748998925669228,1,1
